YHR055C	-2.75169	1.38366E-033
YJL127W-A	1.78018	5.60519E-044
YDR034W-B	1.65592	9.61382E-026
YML058W-A	1.22522	0.00077
YAL064C-A	2.05137	4.72635E-012
YOL013W-A	2.46935	1.45128E-024
YCR102W-A	1.84963	3.62838E-006
YDL130W-A	1.34002	2.84477E-010
YKL096W-A	1.37758	7.49667E-011
Q0130	2.9147	1.32738E-026
Q0085	2.18692	9.70525E-015
Q0075	2.43531	0.00263
YOL052C-A	1.25344	3.62697E-012
Q0050	8.89662	9.3897E-032
Q0045	1.88217	2.31734E-006
Q0017	1.95776	2.24208E-044
YMR287C	1.68892	1.12476E-023
YGR188C	1.42388	8.44769E-006
YBL014C	1.39109	3.09687E-043
YMR275C	1.34312	2.40156E-032
YAL005C	1.55705	0.00001
YHL040C	1.49832	5.75222E-040
YHL038C	1.68395	8.05791E-008
YMR058W	1.38588	1.65306E-006
YDR488C	2.02544	3.66298E-034
YDR299W	1.52548	6.9506E-024
YFL021W	1.51077	3.74165E-009
YKR063C	1.76518	2.83716E-030
YHR070W	1.52549	4.51382E-011
YNL240C	1.91269	1.12462E-008
YCL017C	1.35295	6.58118E-012
YHL012W	3.81493	1.97634E-017
YLR438W	2.09184	2.64678E-011
YBR287W	2.10652	1.03792E-022
YCR012W	1.72393	0.0018
YOR303W	1.68839	8.85117E-039
YNR015W	1.48539	1.28014E-018
YML018C	1.24139	6.427E-015
YDR033W	2.0151	4.2039E-045
YJR107W	1.42412	3.47203E-013
YJL079C	1.90493	8.5835E-031
YDR043C	1.2313	1.73376E-019
YJR104C	1.98628	6.5752E-038
YDL123W	1.27454	3.10078E-010
YNL259C	1.21394	1.29474E-009
YAL043C	1.71808	3.62648E-014
YOR337W	2.37446	3.48801E-013
YMR179W	1.81885	4.08198E-025
YER169W	1.52271	1.13647E-032
YFR022W	2.20596	7.3641E-026
YKR018C	1.36619	0.00004
YLR424W	1.62267	1.70653E-023
YJL069C	1.4994	3.2426E-042
YEL020C	1.56371	1.28391E-009
YJL110C	1.64087	1.29123E-017
YBR118W	-2.27798	1.35217E-010
YHR174W	2.14658	3.83023E-014
YMR034C	1.79007	1.78502E-039
YPR078C	1.9818	9.10623E-008
YDR451C	1.68003	1.05102E-014
YDR214W	1.22603	0.00018
YCR047C	1.58574	0.00053
YIR017C	1.48452	1.99212E-024
YPR038W	1.94513	5.25965E-008
YHL045W	2.0742	5.34356E-014
YLR415C	1.59624	7.50003E-022
YOR153W	2.45158	5.64526E-039
YGR134W	1.13752	3.21047E-017
YGL137W	1.40016	3.8086E-036
YBL066C	2.31641	2.1039E-026
YJL078C	2.305	1.13643E-034
YHR047C	1.26855	0.00308
YMR102C	1.4389	3.66592E-011
YIL047C	1.82872	1.05649E-009
YDR089W	1.28089	4.17519E-013
YBL008W	1.37429	3.22889E-008
YDR362C	1.23572	0.000000522
YNR053C	1.97174	1.1922E-021
YAR035W	2.80173	2.19496E-035
YML088W	1.41021	3.36616E-022
YKL029C	2.04143	5.33226E-010
YBL075C	1.19575	5.58593E-006
YHR218W	1.85148	1.38366E-020
YCL073C	1.88462	0.00001
YLL024C	1.56443	3.23195E-007
YDR046C	2.10138	2.16056E-024
YIL146C	1.06991	7.95523E-008
YCR072C	1.68564	1.5111E-018
YDR528W	1.9464	2.83353E-019
YLR099C	1.76417	4.19032E-014
YEL046C	1.85146	7.27789E-026
YJR095W	1.493	0.00002
YBR231C	1.30407	0.00024
YIR035C	1.86719	5.42515E-030
YER004W	1.15795	1.82621E-009
YGL152C	1.95523	2.08732E-036
YHR105W	1.4879	1.93717E-010
YHL041W	1.9168	1.23019E-008
YDR433W	1.25808	4.78663E-008
YHR095W	2.02071	0.00483
YPR064W	2.09118	0.00057
YLR445W	2.3823	2.7791E-009
YJL212C	1.31972	0.00123
YPL153C	1.30642	6.7576E-007
YOR384W	2.49299	1.19582E-039
YKL222C	2.13837	9.1421E-028
YOR154W	1.97538	4.23894E-019
YHR196W	1.3921	5.90227E-042
YCR088W	1.49057	5.35889E-010
YJL172W	1.86138	5.46506E-044
YPL030W	1.42065	4.21912E-025
YCL036W	1.54895	0.00194
YOR023C	1.20812	1.33934E-013
YMR199W	1.41576	8.96143E-013
YGR108W	1.21374	0.00004
YLL063C	1.82279	6.45671E-027
YBR006W	1.31191	7.60968E-016
YDL246C	1.43169	0.00147
YPR065W	1.52791	1.14338E-037
YLR215C	1.36619	1.41531E-043
YMR101C	1.65379	1.82898E-010
YDL209C	1.36742	0.00004
YJL116C	1.51245	1.33628E-034
YHR085W	1.50697	1.42424E-020
YDR450W	1.44548	0.00002
YOR344C	1.34056	2.10131E-009
YER062C	1.7667	5.46647E-042
YOL081W	-1.06883	0.00533
YKL030W	1.84138	2.19581E-014
YLR073C	1.73114	2.40189E-022
YDL130W	1.63251	2.4793E-031
YBR099C	1.15126	0.00033
YKL115C	2.78402	7.79885E-030
YGL217C	3.58096	1.06426E-006
YLR162W	1.81875	4.79904E-019
YOR029W	1.79645	1.83456E-016
YDR045C	1.64773	1.98765E-016
